name,star,[FeI/H],[FeI/H]_unc,[OI/Fe],[OI/Fe]_unc,flag_[OI/Fe],[MgI/Fe],[MgI/Fe]_unc,flag_[MgI/Fe],[AlI/Fe],[AlI/Fe]_unc,flag_[AlI/Fe],[SiI/Fe],[SiI/Fe]_unc,flag_[SiI/Fe],[KI/Fe],[KI/Fe]_unc,flag_[KI/Fe],[CaI/Fe],[CaI/Fe]_unc,flag_[CaI/Fe],[ScII/Fe],[ScII/Fe]_unc,flag_[ScII/Fe],[TiI/Fe],[TiI/Fe]_unc,flag_[TiI/Fe],[TiII/Fe],[TiII/Fe]_unc,flag_[TiII/Fe],[VI/Fe],[VI/Fe]_unc,flag_[VI/Fe],[VII/Fe],[VII/Fe]_unc,flag_[VII/Fe],[CrI/Fe],[CrI/Fe]_unc,flag_[CrI/Fe],[MnI/Fe],[MnI/Fe]_unc,flag_[MnI/Fe],[FeI/Fe],[FeI/Fe]_unc,flag_[FeI/Fe],[FeII/Fe],[FeII/Fe]_unc,flag_[FeII/Fe],[CoI/Fe],[CoI/Fe]_unc,flag_[CoI/Fe],[NiI/Fe],[NiI/Fe]_unc,flag_[NiI/Fe],[CuI/Fe],[CuI/Fe]_unc,flag_[CuI/Fe],[ZnI/Fe],[ZnI/Fe]_unc,flag_[ZnI/Fe],[SrII/Fe],[SrII/Fe]_unc,flag_[SrII/Fe],[YII/Fe],[YII/Fe]_unc,flag_[YII/Fe],[ZrII/Fe],[ZrII/Fe]_unc,flag_[ZrII/Fe],[BaII/Fe],[BaII/Fe]_unc,flag_[BaII/Fe],[LaII/Fe],[LaII/Fe]_unc,flag_[LaII/Fe],[EuII/Fe],[EuII/Fe]_unc,flag_[EuII/Fe],[CH/Fe],[CH/Fe]_unc,flag_[CH/Fe],[NaI/Fe],[NaI/Fe]_unc,flag_[NaI/Fe],[CrII/Fe],[CrII/Fe]_unc,flag_[CrII/Fe],[DyII/Fe],[DyII/Fe]_unc,flag_[DyII/Fe],[CN/Fe],[CN/Fe]_unc,flag_[CN/Fe],[SrI/Fe],[SrI/Fe]_unc,flag_[SrI/Fe],[CeII/Fe],[CeII/Fe]_unc,flag_[CeII/Fe],[NdII/Fe],[NdII/Fe]_unc,flag_[NdII/Fe],[SmII/Fe],[SmII/Fe]_unc,flag_[SmII/Fe],[GdII/Fe],[GdII/Fe]_unc,flag_[GdII/Fe]
aliqauma,aliqauma_0,-2.427,0.31,nan,nan,det,0.271,0.341,det,-1.27,0.301,det,0.324,0.306,det,nan,nan,det,0.35,0.333,det,nan,nan,det,0.279,0.371,det,0.318,0.39,det,nan,nan,det,nan,nan,det,0.242,0.334,det,nan,nan,det,0.0,0.0,det,0.054,0.355,det,nan,nan,det,0.224,0.417,det,nan,nan,det,nan,nan,det,-0.329,0.781,det,nan,nan,det,nan,nan,det,nan,nan,det,nan,nan,det,nan,nan,det,nan,nan,det,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliqauma,aliqauma_10,-2.189,0.237,nan,nan,det,0.387,0.238,det,-0.753,0.359,det,0.42,0.224,det,0.682,0.217,det,0.193,0.266,det,-0.093,0.272,det,0.117,0.302,det,0.229,0.289,det,-0.304,0.239,det,0.107,0.371,det,-0.244,0.338,det,-0.609,0.243,det,0.0,0.0,det,-0.096,0.295,det,0.187,0.227,det,-0.014,0.269,det,nan,nan,det,0.145,0.296,det,0.009,0.253,det,-0.205,0.242,det,0.133,0.255,det,-0.092,0.252,det,0.035,0.246,det,0.199,0.249,det,-0.325,0.252,det,0.236,0.219,det,-0.166,0.28,det,0.137,0.245,det,nan,nan,det,,,,,,,,,,,,,,,
aliqauma,aliqauma_5,-2.308,0.241,nan,nan,det,0.4,0.226,det,-0.497,0.4,det,0.524,0.361,det,0.769,0.226,det,0.335,0.239,det,0.152,0.301,det,0.143,0.258,det,0.356,0.301,det,-0.233,0.229,det,0.244,0.305,det,-0.169,0.235,det,-0.417,0.227,det,0.0,0.0,det,-0.063,0.292,det,0.089,0.232,det,-0.003,0.226,det,nan,nan,det,0.048,0.305,det,0.098,0.237,det,-0.263,0.271,det,0.028,0.263,det,-0.158,0.272,det,0.04,0.27,det,0.255,0.26,det,-0.551,0.276,det,0.257,0.206,det,-0.037,0.262,det,0.239,0.287,det,0.183,0.279,det,,,,,,,,,,,,,,,
aliqauma,aliqauma_7,-2.4,0.201,nan,nan,det,0.346,0.208,det,-0.755,0.195,det,0.484,0.182,det,0.679,0.183,det,0.399,0.219,det,0.029,0.222,det,0.36,0.238,det,0.321,0.234,det,0.026,0.204,det,0.169,0.218,det,-0.087,0.236,det,-0.555,0.198,det,0.0,0.0,det,0.008,0.242,det,0.107,0.2,det,-0.008,0.221,det,nan,nan,det,0.295,0.193,det,0.157,0.21,det,-0.123,0.222,det,0.183,0.209,det,-0.023,0.209,det,nan,nan,det,0.329,0.215,det,-0.413,0.209,det,0.286,0.189,det,0.029,0.239,det,,,,nan,nan,det,,,,,,,,,,,,,,,
aliqauma,aliqauma_9,-2.307,0.253,nan,nan,det,0.425,0.247,det,-0.91,0.42,det,0.518,0.335,det,0.706,0.231,det,0.285,0.259,det,0.084,0.348,det,0.076,0.276,det,0.25,0.288,det,-0.136,0.252,det,0.261,0.277,det,-0.187,0.27,det,-0.553,0.247,det,0.0,0.0,det,-0.164,0.296,det,0.043,0.332,det,-0.038,0.257,det,nan,nan,det,0.031,0.262,det,-0.002,0.251,det,-0.302,0.268,det,0.084,0.27,det,-0.13,0.296,det,-0.042,0.271,det,0.145,0.273,det,-0.447,0.288,det,0.271,0.228,det,-0.031,0.303,det,0.394,0.271,det,0.261,0.294,det,,,,,,,,,,,,,,,
atlas,atlas_0,-2.254,0.254,nan,nan,det,0.401,0.27,det,-0.539,0.438,det,0.396,0.265,det,0.713,0.236,det,0.313,0.3,det,-0.035,0.295,det,0.134,0.289,det,0.259,0.3,det,-0.127,0.259,det,0.224,0.287,det,-0.21,0.299,det,-0.529,0.261,det,0.0,0.0,det,-0.161,0.302,det,0.194,0.249,det,-0.038,0.247,det,nan,nan,det,0.032,0.261,det,0.016,0.259,det,-0.345,0.279,det,-0.052,0.269,det,-0.164,0.455,det,0.011,0.282,det,0.2,0.266,det,-0.213,0.262,det,0.329,0.239,det,0.065,0.262,det,0.501,0.288,det,,,,,,,,,,,,,,,,,,
atlas,atlas_1,-2.329,0.284,nan,nan,det,0.355,0.284,det,-1.039,0.692,det,0.612,0.329,det,0.675,0.278,det,0.268,0.334,det,-0.11,0.298,det,0.284,0.278,det,0.175,0.343,det,0.147,0.284,det,0.148,0.344,det,-0.112,0.331,det,nan,nan,det,0.0,0.0,det,-0.159,0.31,det,nan,nan,det,0.171,0.4,det,nan,nan,det,nan,nan,det,-0.281,0.413,det,-0.135,0.291,det,0.339,0.292,det,-0.37,0.32,det,nan,nan,det,nan,nan,det,0.33,0.292,det,0.53,0.273,det,0.126,0.288,det,,,,nan,nan,det,,,,,,,,,,,,,,,
atlas,atlas_12,-2.446,0.367,nan,nan,det,0.448,0.345,det,-1.795,0.32,det,0.458,0.466,det,0.842,0.331,det,0.346,0.438,det,0.145,0.384,det,0.245,0.463,det,0.342,0.415,det,nan,nan,det,nan,nan,det,-0.064,0.417,det,-0.308,0.363,det,0.0,0.0,det,0.156,0.503,det,0.321,0.665,det,0.127,0.421,det,nan,nan,det,nan,nan,det,0.143,0.395,det,-0.1,0.379,det,0.133,0.381,det,-0.123,0.425,det,nan,nan,det,0.312,0.422,det,-0.364,0.398,det,0.117,0.33,det,0.084,0.371,det,0.612,0.375,det,nan,nan,det,,,,,,,,,,,,,,,
atlas,atlas_22,-2.159,0.244,nan,nan,det,0.366,0.253,det,-0.653,0.373,det,0.103,0.307,det,0.674,0.222,det,0.239,0.279,det,0.091,0.305,det,0.074,0.297,det,0.272,0.313,det,-0.344,0.263,det,0.225,0.276,det,-0.293,0.274,det,-0.639,0.291,det,0.0,0.0,det,-0.014,0.282,det,0.109,0.51,det,-0.08,0.314,det,nan,nan,det,0.057,0.277,det,0.031,0.241,det,-0.342,0.272,det,0.505,0.266,det,-0.095,0.263,det,-0.019,0.315,det,0.096,0.26,det,-0.275,0.265,det,0.318,0.23,det,0.013,0.296,det,0.369,0.295,det,nan,nan,det,,,,,,,,,,,,,,,
atlas,atlas_25,-2.294,0.24,nan,nan,det,0.319,0.254,det,-0.693,0.259,det,0.273,0.391,det,0.613,0.271,det,0.196,0.271,det,-0.01,0.268,det,0.059,0.259,det,0.246,0.282,det,-0.132,0.243,det,0.152,0.296,det,-0.151,0.294,det,-0.601,0.238,det,0.0,0.0,det,-0.075,0.291,det,0.17,0.229,det,0.001,0.246,det,nan,nan,det,nan,nan,det,0.088,0.235,det,-0.302,0.251,det,0.044,0.253,det,-0.203,0.241,det,0.175,0.249,det,0.342,0.29,det,-0.098,0.268,det,0.298,0.225,det,-0.201,0.275,det,0.393,0.242,det,nan,nan,det,,,,,,,,,,,,,,,
